2023|	102,5	103,8	104,9	105,7	105,7	105,7	105,5	105,5	105,1	105,3	106,1	106,2
2022|	101,9	101,6	104,9	107,0	108,8	110,4	110,9	111,8	113,6	115,6	116,4	116,6
2021|	101,3	101,8	102,8	103,6	103,9	104,0	104,5	104,8	105,5	106,6	107,6	108,6
2020|	100,9	101,6	101,8	101,7	101,5	102,1	101,9	101,8	102,0	102,2	102,2	102,4
